created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-02-14 09:51:25+00:00,RT @Swamy39: TV channels are scrolling that Namo is praising Air India for its courageous and efficient operations to ferry out Indians fro…,Shivam____kumar,"Gurgaon, haryana, india",Kaafi khuch jaan-na chahte ho,429,901,136283,False,"TV channels are scrolling that Namo is praising Air India for its courageous and efficient operations to ferry out Indians from Wuhan. “Well, Prime Minister it is then time for you to direct MoCA to drop all attempts to sell off Air India”—If you mean what you have said."
2020-02-14 09:51:25+00:00,"RT @shiroihamusan: @bueti CCP is too good at camouflaging itself, with propaganda and infiltration
If there's no #WuhanCoronavirus, we don'…",cLFob8w3vgFfoBW,,"中女一枚
感謝連登開闢了我Twitter 之路",116,313,11239,False,"@bueti CCP is too good at camouflaging itself, with propaganda and infiltration
If there's no #WuhanCoronavirus, we don't even know WHO has been controlled by CCP https://t.co/UhhiODTeII"
2020-02-14 09:51:25+00:00,"RT @rdomenechv: The bigger lessons of the coronavirus shock, by @MESandbu  
The coronavirus crisis shows that most economic events are both…",JochenEurope,Madrid,"Deputy Head of Representation, EU Commission in Spain, Spanish politics and EU priorities thru eyes of a German/Saarländer. RT=interesting",1967,205,15731,False,"The bigger lessons of the coronavirus shock, by @MESandbu  
The coronavirus crisis shows that most economic events are both, supply and demand shocks
https://t.co/TgShhpcdRp via @financialtimes https://t.co/l2Ifcx9WKs"
2020-02-14 09:51:26+00:00,"@SZ CCP focus on censor speech and lies to public. CCP sacrifice people of health care. #WuhanCoronavirus #Wuhan 
https://t.co/NqLABivVll https://t.co/ytqhCc29b1",chanfong985,Worldwide,Fight for freedom. Hong Kong small potatoes.🇭🇰 香港人加油，stand with HK,1782,3533,21263,False,NaN
2020-02-14 09:51:26+00:00,Ingraham: In Bloomberg's China cabinet https://t.co/kGEWTLUMBA via @YouTube,milindaratnasur,,,833,1523,117532,False,NaN
2020-02-14 09:51:26+00:00,RT @nelidiaa: I can smell this picture 🤢,shrimpyshug,lost,everything happened for a reason,46,58,16648,False,I can smell this picture 🤢 https://t.co/k82WRoBIka
2020-02-14 09:51:26+00:00,"RT @getserious1234: @CPHO_Canada @DrTedros Is the US CDC not a credible source?  What about the worlds top research universities?  

Why is…",realEd_Flint,,Remember Benghazi.  RT is not an endorsement. No more war.Some old music some new.  I vote wrong in all polls.,9756,9752,153195,False,"@CPHO_Canada @DrTedros Is the US CDC not a credible source?  What about the worlds top research universities?  

Why is Canada still accepting flights from China?   It seems our own government is not “credible”.

We are unhappy!  You have a duty to Canadians!"
2020-02-14 09:51:26+00:00,"Gold, silver prices up as coronavirus back on the front burner https://t.co/lVg1WEwGOk",WorldSilverNews,World,"Providing News, Charts and Price of the Silver Market.",177,30,50509,False,NaN
2020-02-14 09:51:26+00:00,RT @GhanaianGhost: The Uber driver reading this headline https://t.co/6bH6JYALgS,JimmyAllsop,"North West, England",pint of smooth,455,648,23052,False,The Uber driver reading this headline https://t.co/zlCCgBkMa9 https://t.co/6bH6JYALgS
2020-02-14 09:51:26+00:00,Another 5k overnight #coronavirus #COVID19 #NHS @Skyizblue2 https://t.co/JkhnhPSy5b,LivingLawfully,,,21,265,275,False,NaN
